file (0x0217e7b0)
                                                                      [0.0001s]	
Word, Tag, Lemma, CorrectWord
Eins, Eins,     ,     
og, og,   ,   
öllum, öllum,      ,      
hv., hv.,    ,    
þdm., þdm.,     ,     
er, er,   ,   
kunnugt, kunnugt,        ,        
,, ,,  ,  
þá, þá,   ,   
samþykkti, samþykkti,          ,          
siðasta, síðasta,  i     ,  í     
þing, þing,     ,     
frv., frv.,     ,     
til, til,    ,    
l., l.,   ,   
um, um,   ,   
breyting, breyting,         ,         
á, á,  ,  
stjórnskipunarlögum, stjórnskipunarlögum,                    ,                    
landsins, landsins,         ,         
., .,  ,  
, , , 
Þessar, Þessar,       ,       
kosningar, kosningar,          ,          
fóru, fóru,     ,     
fram, fram,     ,     
28., 28.,    ,    
f., f.m,   ,   m
m., .,  .,  
, , , 
Má, Má,   ,   
því, því,    ,    
með, með,    ,    
sanni, sanni,      ,      
segja, segja,      ,      
,, ,,  ,  
að, að,   ,   
þjóðin, þjóðin,       ,       
hafi, hafi,     ,     
látið, látið,      ,      
vilja, vilja,      ,      
sinn, sinn,     ,     
i, í, i, í
ljós, ljós,     ,     
um, um,   ,   
þessa, þessa,      ,      
breyt., breyt.,       ,       
á, á,  ,  
mjög, mjög,     ,     
ótvíræðan, ótvíræðan,          ,          
hátt, hátt,     ,     
., .,  ,  
, , , 
Í, Í,  ,  
því, því,    ,    
skyni, skyni,      ,      
er, er,   ,   
frv., frv.,     ,     
lagt, lagt,     ,     
bér, þér, b  , þ  
fram, fram,     ,     
á, á,  ,  
ný, ný,   ,   
,, ,,  ,  
óbreytt, óbreytt,        ,        
vitaskuld, vitaskuld,          ,          
,, ,,  ,  
eins, eins,     ,     
og, og,   ,   
síðasta, síðasta,        ,        
Alþ., Alþ.,     ,     
gekk, gekk,     ,     
frá, frá,    ,    
því, því,    ,    
., .,  ,  
, , , 
Við, Við,    ,    
teljum, teljum,       ,       
,, ,,  ,  
sem, sem,    ,    
að, að,   ,   
málinu, málinu,       ,       
stöndum, stöndum,        ,        
,, ,,  ,  
að, að,   ,   
með, með,    ,    
afgreiðslu, afgreiðslu,           ,           
þess, þess,     ,     
á, á,  ,  
þann, þann,     ,     
hátt, hátt,     ,     
,, ,,  ,  
sem, sem,    ,    
hér, hér,    ,    
er, er,   ,   
gert, gert,     ,     
ráð, ráð,    ,    
fyrir, fyrir,      ,      
,, ,,  ,  
sé, sé,   ,   
mikil, mikil,      ,      
bót, bót,    ,    
fengin, fengin,       ,       
á, á,  ,  
þvi, því,   i,   í
ranglæti, ranglæti,         ,         
,, ,,  ,  
sem, sem,    ,    
íslenska, íslenska,         ,         
þjóðin, þjóðin,       ,       
hefur, hefur,      ,      
átt, átt,    ,    
við, við,    ,    
að, að,   ,   
búa, búa,    ,    
um, um,   ,   
val, val,    ,    
fulltrúa, fulltrúa,         ,         
til, til,    ,    
Alþingis, Alþingis,         ,         
,, ,,  ,  
---, ---,    ,    
úrbót, úrbót,      ,      
,, ,,  ,  
sem, sem,    ,    
lengi, lengi,      ,      
hefur, hefur,      ,      
verið, verið,      ,      
stefnt, stefnt,       ,       
að, að,   ,   
að, að,   ,   
ná, ná,   ,   
og, og,   ,   
að, að,   ,   
vísu, vísu,     ,     
nokkuð, nokkuð,       ,       
hefur, hefur,      ,      
þokað, þokað,      ,      
í, í,  ,  
áttina, áttina,       ,       
með, með,    ,    
fyrri, fyrri,      ,      
breytingum, breytingum,           ,           
,, ,,  ,  
en, en,   ,   
þó, þó,   ,   
nú, nú,   ,   
mest, mest,     ,     
með, með,    ,    
þeirri, þeirri,       ,       
breyt., breyt.,       ,       
,, ,,  ,  
sem, sem,    ,    
hér, hér,    ,    
er, er,   ,   
ætlað, ætlað,      ,      
að, að,   ,   
gera, gera,     ,     
., .,  ,  
, , , 
Ég, Ég,   ,   
leyfl, leyfi,     i,     l
mér, mér,    ,    
svo, svo,    ,    
,, ,,  ,  
herra, herra,      ,      
forseti, forseti,        ,        
,, ,,  ,  
að, að,   ,   
leggja, leggja,       ,       
til, til,    ,    
,, ,,  ,  
að, að,   ,   
